0.011,0.00887823
0.0271,0.0216976
0.0448,0.0355433
0.0458,0.0363176
0.0625,0.0491211
0.0815,0.0633885
0.0828,0.0643528
0.1088,0.083312
0.113,0.0863154
0.1314,0.0992744
0.1424,0.106865
0.1483,0.110888
0.171,0.126042
0.1828,0.133715
0.1885,0.13737
0.1961,0.142193
0.2478,0.173401
0.2639,0.182543
0.2773,0.189941
0.2874,0.195389
0.2942,0.198995
0.3057,0.20498
0.3301,0.217203
0.3414,0.222644
0.3593,0.230979
0.3664,0.234189
0.3874,0.24336
0.3903,0.244589
0.3925,0.245515
0.3949,0.24652
0.4469,0.266752
0.471,0.275145
0.4856,0.27993
0.5162,0.289233
0.5754,0.304502
0.6423,0.317592
0.6496,0.318764
0.7163,0.327237
0.7288,0.328393
0.7302,0.328514
0.7581,0.330592
0.7971,0.33245
0.7976,0.332466
0.8166,0.33294
0.8402,0.333158
0.8486,0.333139
0.89,0.332337
0.8968,0.332097
0.9041,0.331805
0.936,0.330138
0.9517,0.329091
0.9655,0.328052
0.9811,0.326747
1.0207,0.322846
1.0293,0.321891
1.0641,0.317658
1.07,0.316883
1.118,0.310007
1.1232,0.309203
1.1376,0.306919
1.1397,0.306579
1.177,0.300256
1.1941,0.297184
1.2078,0.294648
1.2181,0.292699
1.2183,0.292661
1.239,0.288634
1.2597,0.284468
1.2821,0.279808
1.2857,0.279045
1.2997,0.27604
1.3064,0.274582
1.3068,0.274494
1.3502,0.264731
1.3771,0.258419
1.3961,0.253843
1.3967,0.253697
1.4257,0.246525
1.4275,0.246073
1.4388,0.243214
1.4454,0.24153
1.4803,0.232436
1.4933,0.228969
1.4994,0.227328
1.5016,0.226733
1.5118,0.223962
1.5511,0.213034
1.5646,0.209188
1.5716,0.207175
1.5864,0.202877
1.5869,0.202731
1.5962,0.199999
1.6107,0.195694
1.6204,0.192782
1.641,0.186513
1.6522,0.183055
1.6657,0.17884
1.7167,0.162443
1.7209,0.161058
1.7359,0.156068
1.737,0.1557
1.7555,0.149444
1.7756,0.142524
1.7765,0.142211
1.7832,0.139874
1.7945,0.135898
1.7966,0.135155
1.8098,0.130448
1.8345,0.121483
1.888,0.101333
1.9061,0.0942814
1.9228,0.0876675
1.9427,0.0796487
1.95,0.0766692
1.9688,0.0689012
1.977,0.0654697
2.0132,0.0500039
2.0261,0.0443662
2.0377,0.0392393
2.041,0.0377709
2.0646,0.0271402
2.0704,0.0244928
2.108,0.00699662
2.1511,-0.0137708
2.1586,-0.0174621
2.1591,-0.017709
2.1603,-0.018302
2.1744,-0.0253129
2.1791,-0.0276677
2.2025,-0.0395235
2.2218,-0.0494653
2.266,-0.0727767
2.2758,-0.0780451
2.2964,-0.089234
2.305,-0.09395
2.3204,-0.102459
2.3456,-0.116557
2.3513,-0.119775
2.3637,-0.12681
2.3639,-0.126923
2.3779,-0.134924
2.3884,-0.140963
2.4173,-0.157743
2.4612,-0.183636
2.5002,-0.206981
2.5019,-0.208005
2.5095,-0.212587
2.523,-0.220747
2.5667,-0.247304
2.5886,-0.260668
2.6026,-0.269219
2.6034,-0.269708
2.6062,-0.271418
2.6373,-0.29041
2.679,-0.315783
2.688,-0.321234
2.7306,-0.34685
2.7519,-0.359509
2.7687,-0.369407
2.7886,-0.381016
2.7916,-0.382754
2.7944,-0.384374
2.8011,-0.388238
2.8085,-0.392485
2.8134,-0.395286
2.8219,-0.400121
2.8312,-0.405375
2.8479,-0.414712
2.8871,-0.43608
2.8923,-0.438851
2.9086,-0.447434
2.9341,-0.460525
2.9398,-0.463392
3.0025,-0.493343
3.0156,-0.499203
3.0246,-0.503143
3.0269,-0.504138
3.0372,-0.508536
3.057,-0.516715
3.0817,-0.526387
3.1059,-0.535259
3.1081,-0.536035
3.1548,-0.551237
3.1626,-0.553532
3.1667,-0.554709
3.1775,-0.557713
3.18,-0.558388
3.1848,-0.559663
3.1975,-0.562897
3.2012,-0.563801
3.2156,-0.567154
3.2277,-0.569762
3.2792,-0.578664
3.2811,-0.578923
3.2845,-0.579372
3.298,-0.580994
3.3021,-0.581434
3.305,-0.581731
3.326,-0.583514
3.3657,-0.585085
3.3811,-0.585045
3.3887,-0.58489
3.4096,-0.583993
3.4322,-0.582241
3.4422,-0.581204
3.4615,-0.578741
3.4707,-0.577353
3.4828,-0.575314
3.5237,-0.566625
3.5281,-0.565524
3.5347,-0.563811
3.5644,-0.555196
3.5677,-0.554147
3.6073,-0.540124
3.6117,-0.538403
3.6133,-0.537768
3.6365,-0.528089
3.6445,-0.524541
3.6549,-0.519768
3.6696,-0.512714
3.6948,-0.499783
3.7191,-0.48632
3.7522,-0.466436
3.7561,-0.463977
3.7598,-0.461621
3.7614,-0.460596
3.7725,-0.453372
3.7899,-0.441657
3.797,-0.436741
3.7993,-0.435132
3.8156,-0.423496
3.8206,-0.419845
3.8423,-0.403568
3.8527,-0.39552
3.8729,-0.379441
3.9053,-0.352448
3.9842,-0.280923
4.0293,-0.236691
4.0768,-0.187802
4.0943,-0.169255
4.1184,-0.143284
4.1201,-0.141434
4.1283,-0.132481
4.1668,-0.0897986
4.1772,-0.0781019
4.2232,-0.0256538
4.2307,-0.0170068
4.2351,-0.0119237
4.2575,0.0140661
4.3924,0.172388
4.3992,0.180354
4.4264,0.212102
4.4329,0.219656
4.4479,0.237033
4.4549,0.245112
4.4659,0.257766
4.4936,0.289368
4.5112,0.309227
4.547,0.348994
4.5638,0.36733
4.591,0.396519
4.6013,0.407399
4.6169,0.423685
4.6338,0.441053
4.6707,0.477903
4.6775,0.484523
